Latitude,Longitude,Month,Day,Year,Time,Seconds,Unix_Time,Reliability,Mag_var
36.125523,-86.733147,3,28,2019,1707,07,1553810827,9,253
36.147636,-86.693456,3,28,2019,1721,03,1553811663,6,229
36.110937,-86.528212,3,28,2019,1722,58,1553811778,5,45
36.050658,-86.87823,3,28,2019,1702,58,1553810578,7,278
36.05076,-86.879177,3,28,2019,1720,00,1553811600,5,97
36.050719,-86.878794,3,28,2019,1659,58,1553810398,10,98
36.147031,-86.808227,3,28,2019,1653,37,1553810017,7,59
36.142038,-86.778732,3,28,2019,1704,25,1553810665,6,173
36.142488,-86.778786,3,28,2019,1709,44,1553810984,5,177
36.140308,-86.778503,3,28,2019,1709,55,1553810995,5,174
36.14128,-86.77863,3,28,2019,1722,42,1553811762,5,354
36.300506,-86.695372,3,28,2019,1656,03,1553810163,5,59
36.154117,-86.836958,3,28,2019,1650,40,1553809840,7,268
36.016327,-86.78595,3,28,2019,1650,31,1553809831,10,348
36.05937,-86.679235,3,28,2019,1714,42,1553811282,6,139
36.124842,-86.735795,3,28,2019,1646,32,1553809592,9,257
36.284926,-86.806689,3,28,2019,1716,43,1553811403,6,328
36.284868,-86.806644,3,28,2019,1717,10,1553811430,6,328
36.251292,-86.74032,3,28,2019,1717,21,1553811441,6,28
36.176366,-86.767398,3,28,2019,0923,02,1553782982,6,277
36.074168,-86.692612,3,28,2019,0850,09,1553781009,10,334
36.068153,-86.688316,3,28,2019,0933,19,1553783599,5,320
36.219017,-86.774925,3,28,2019,1101,42,1553788902,6,186
36.324192,-86.864382,3,27,2019,1933,40,1553733220,5,300
35.994998,-86.691942,3,27,2019,1952,52,1553734372,5,48
36.045663,-86.659321,3,27,2019,1942,19,1553733739,5,306
36.040988,-86.774672,3,28,2019,1542,35,1553805755,6,0
36.124232,-86.727973,3,28,2019,1548,20,1553806100,6,353
36.204356,-86.606455,3,28,2019,1504,06,1553803446,7,197
36.032436,-86.783586,3,28,2019,1547,01,1553806021,8,186
36.122836,-86.727457,3,28,2019,1539,43,1553805583,7,351
36.158217,-86.79126,3,28,2019,1538,30,1553805510,6,145
36.015088,-86.620288,3,28,2019,1616,24,1553807784,9,191
36.016417,-86.619974,3,28,2019,1616,53,1553807813,7,10
36.187264,-86.822183,3,28,2019,1639,31,1553809171,5,34
36.032047,-86.783632,3,28,2019,1547,01,1553806021,10,186
36.031458,-86.783491,3,28,2019,1613,58,1553807638,6,185
